"year","sex","age","deaths"
2022,"male",1,38.6965262379897
2022,"male",5,22.4032520325203
2022,"male",10,29.5315594974132
2022,"male",15,175.152697708795
2022,"male",20,262.729046563193
2022,"male",25,270.875683665928
2022,"male",30,297.352254249815
2022,"male",35,257.637398373984
2022,"male",40,353.360384331116
2022,"male",45,451.120029563932
2022,"male",50,568.227937915743
2022,"male",55,639.511012564671
2022,"male",60,876.781818181818
2022,"male",65,1002.03636363636
2022,"male",70,1063.13614190687
2022,"male",75,92.6679970436068
2022,"male",80,104.887952697709
2022,"male",85,138.492830746489
2023,"male",0,245.230444964871
2023,"male",1,43.5740046838407
2023,"male",5,32.4271662763466
2023,"male",10,33.4405152224824
2023,"male",15,146.935597189696
2023,"male",20,268.537470725995
2023,"male",25,279.684309133489
2023,"male",30,318.191569086651
2023,"male",35,325.285011709602
2023,"male",40,315.151522248244
2023,"male",45,428.646604215457
2023,"male",50,578.62224824356
2023,"male",55,659.690163934426
2023,"male",60,817.772599531616
2023,"male",65,965.721545667447
2023,"male",70,976.868384074941
2023,"male",75,1104.55035128806
2023,"male",80,996.122014051522
2023,"male",85,117.548477751756
2024,"male",0,208.7
2024,"male",1,27.4873170731707
2024,"male",5,31.559512195122
2024,"male",10,25.4512195121951
2024,"male",15,186.302926829268
2024,"male",20,312.540975609756
2024,"male",25,311.522926829268
2024,"male",30,358.353170731707
2024,"male",35,326.793658536585
2024,"male",40,376.678048780488
2024,"male",45,438.779024390244
2024,"male",50,511.060487804878
2024,"male",55,641.370731707317
2024,"male",60,727.90487804878
2024,"male",65,909.11756097561
2024,"male",70,956.965853658537
2024,"male",75,1007.86829268293
2024,"male",80,989.543414634146
2024,"male",85,0
1990,"female",0,223.946347377993
1990,"female",1,54.2291603516217
1990,"female",5,35.1485298575326
1990,"female",10,36.1527735677478
1990,"female",15,53.2249166414065
1990,"female",20,68.2885722946347
1990,"female",25,49.2079418005456
1990,"female",30,53.2249166414065
1990,"female",35,72.3055471354956
1990,"female",40,93.3946650500151
1990,"female",45,115.48802667475
1990,"female",50,123.521976356472
1990,"female",55,187.793573810246
1990,"female",60,243.026977872082
1990,"female",65,287.213701121552
1990,"female",70,321.357987268869
1990,"female",75,371.57017277963
1990,"female",80,354.498029705972
1990,"female",85,569.406183692028
1991,"female",0,201.246660730187
1991,"female",1,85.5298308103295
1991,"female",5,40.2493321460374
1991,"female",10,35.2181656277827
1991,"female",15,53.3303650934996
1991,"female",20,53.3303650934996
1991,"female",25,54.3365983971505
1991,"female",30,72.4487978628673
1991,"female",35,77.479964381122
1991,"female",40,73.4550311665183
1991,"female",45,90.5609973285842
1991,"female",50,145.903829029386
1991,"female",55,166.028495102404
1991,"female",60,262.626892252894
1991,"female",65,286.776491540516
1991,"female",70,324.007123775601
1991,"female",75,342.119323241318
1991,"female",80,379.349955476402
1991,"female",85,646.0017809439
1992,"female",0,165.962542216764
1992,"female",1,51.2975130488179
1992,"female",5,25.1458397298127
1992,"female",10,32.1866748541603
1992,"female",15,53.3091802272029
1992,"female",20,62.3616825299355
1992,"female",25,56.3266809947805
1992,"female",30,60.3500153515505
1992,"female",35,72.4200184218606
1992,"female",40,100.583358919251
1992,"female",45,90.5250230273258
1992,"female",50,138.805035308566
1992,"female",55,166.968375805956
1992,"female",60,239.388394227817
1992,"female",65,280.62757138471
1992,"female",70,319.855081363218
1992,"female",75,379.199263125576
1992,"female",80,385.234264660731
1992,"female",85,595.453484801965
1993,"female",0,180.975874220656
1993,"female",1,72.3903496882624
1993,"female",5,28.1518026565465
1993,"female",10,41.2222824613716
1993,"female",15,50.2710761724044
1993,"female",20,59.3198698834372
1993,"female",25,61.3307129303334
1993,"female",30,72.3903496882624
1993,"female",35,63.3415559772296
1993,"female",40,86.4662510165357
1993,"female",45,122.661425860667
1993,"female",50,140.759013282732
1993,"female",55,198.068040119274
1993,"female",60,279.507183518569
1993,"female",65,299.61561398753
1993,"female",70,359.940905394416
1993,"female",75,410.21198156682
1993,"female",80,502.710761724044
1993,"female",85,679.664949850908
1994,"female",0,167.102379634754
1994,"female",1,61.4050913115661
1994,"female",5,40.2656336469286
1994,"female",10,29.1925843940232
1994,"female",15,48.3187603763143
1994,"female",20,62.4117321527393
1994,"female",25,55.3652462645268
1994,"female",30,72.4781405644715
1994,"female",35,81.5379081350304
1994,"female",40,109.72385168788
1994,"female",45,135.896513558384
1994,"female",50,152.002767017156
1994,"female",55,183.208633093525
1994,"female",60,266.759822910902
1994,"female",65,307.025456557831
1994,"female",70,336.218040951854
1994,"female",75,379.503597122302
1994,"female",80,467.081350304372
1994,"female",85,682.50249031544
1995,"female",0,187.481958762887
1995,"female",1,61.1572164948454
1995,"female",5,24.0618556701031
1995,"female",10,36.0927835051546
1995,"female",15,53.1365979381443
1995,"female",20,60.1546391752577
1995,"female",25,64.1649484536082
1995,"female",30,65.1675257731959
1995,"female",35,78.201030927835
1995,"female",40,110.283505154639
1995,"female",45,131.337628865979
1995,"female",50,155.399484536082
1995,"female",55,211.54381443299
1995,"female",60,255.657216494845
1995,"female",65,328.845360824742
1995,"female",70,359.925257731959
1995,"female",75,422.085051546392
1995,"female",80,457.175257731959
1995,"female",85,828.128865979381
1996,"female",0,154.598445595855
1996,"female",1,60.2331606217617
1996,"female",5,31.1204663212435
1996,"female",10,27.1049222797927
1996,"female",15,70.2720207253886
1996,"female",20,62.240932642487
1996,"female",25,44.1709844559585
1996,"female",30,63.2448186528497
1996,"female",35,81.3147668393782
1996,"female",40,98.380829015544
1996,"female",45,113.439119170984
1996,"female",50,164.637305699482
1996,"female",55,201.781088082902
1996,"female",60,277.072538860104
1996,"female",65,340.317357512953
1996,"female",70,360.395077720207
1996,"female",75,433.678756476684
1996,"female",80,445.725388601036
1996,"female",85,845.272020725389
1997,"female",0,128.360748142455
1997,"female",1,66.1860107609531
1997,"female",5,34.0958237253395
1997,"female",10,26.0732769664361
1997,"female",15,48.1352805534204
1997,"female",20,51.1437355880092
1997,"female",25,55.1550089674609
1997,"female",30,62.1747373815014
1997,"female",35,86.2423776582116
1997,"female",40,105.295926210607
1997,"female",45,129.363566487317
1997,"female",50,160.450935178068
1997,"female",55,223.628490904432
1997,"female",60,272.766589802716
1997,"female",65,332.935690494491
1997,"female",70,389.093517806815
1997,"female",75,452.27107353318
1997,"female",80,436.225980015373
1997,"female",85,854.401229823213
1998,"female",0,135.61070620759
1998,"female",1,55.2488062327218
1998,"female",5,32.1447599899472
1998,"female",10,29.1311887408897
1998,"female",15,47.212616235235
1998,"female",20,57.2578537320935
1998,"female",25,61.2759487308369
1998,"female",30,79.3573762251822
1998,"female",35,67.303091228952
1998,"female",40,127.574516210103
1998,"female",45,118.53380246293
1998,"female",50,171.77356119628
1998,"female",55,211.954511183714
1998,"female",60,295.32998240764
1998,"female",65,338.524503644132
1998,"female",70,354.596883639105
1998,"female",75,510.298064840412
1998,"female",80,453.040211108319
1998,"female",85,850.831615983916
1999,"female",0,137.330598455598
1999,"female",1,62.1496138996139
1999,"female",5,27.0651544401544
1999,"female",10,31.0748069498069
1999,"female",15,55.132722007722
1999,"female",20,62.1496138996139
1999,"female",25,50.1206563706564
1999,"female",30,59.1423745173745
1999,"female",35,83.2002895752896
1999,"female",40,85.2051158301158
1999,"female",45,130.313706563707
1999,"female",50,150.361969111969
1999,"female",55,241.581563706564
1999,"female",60,294.709459459459
1999,"female",65,378.912162162162
1999,"female",70,394.950772200772
1999,"female",75,485.167953667954
1999,"female",80,504.213803088803
1999,"female",85,921.217664092664
2000,"female",0,135.474159558455
2000,"female",1,46.1615654791771
2000,"female",5,17.059708981435
2000,"female",10,24.0842950326142
2000,"female",15,50.1756146512795
2000,"female",20,49.1721023582539
2000,"female",25,58.2037129954842
2000,"female",30,68.2388359257401
2000,"female",35,76.2669342699448
2000,"female",40,90.3161063723031
2000,"female",45,116.407425990968
2000,"female",50,198.695434019067
2000,"female",55,181.635725037632
2000,"female",60,290.015052684395
2000,"female",65,331.159056698445
2000,"female",70,437.531359759157
2000,"female",75,461.615654791771
2000,"female",80,431.510286001004
2000,"female",85,936.276969392875
2001,"female",0,109.406413124534
2001,"female",1,46.1715137956749
2001,"female",5,22.0820283370619
2001,"female",10,23.0857568978374
2001,"female",15,45.1677852348993
2001,"female",20,48.178970917226
2001,"female",25,31.1155853840418
2001,"female",30,59.2199850857569
2001,"female",35,68.2535421327368
2001,"female",40,92.3430275913497
2001,"female",45,138.514541387025
2001,"female",50,192.715883668904
2001,"female",55,217.809097688292
2001,"female",60,309.148396718867
2001,"female",65,331.230425055928
2001,"female",70,413.536167039523
2001,"female",75,473.759880686055
2001,"female",80,488.815809097688
2001,"female",85,927.4451901566
2002,"female",0,143.399162595953
2002,"female",1,42.1172365666434
2002,"female",5,19.053035589672
2002,"female",10,32.089323098395
2002,"female",15,54.1507327285415
2002,"female",20,35.0976971388695
2002,"female",25,59.1646894626657
2002,"female",30,73.2037683182135
2002,"female",35,87.2428471737613
2002,"female",40,101.281926029309
2002,"female",45,129.360083740405
2002,"female",50,160.446615491975
2002,"female",55,223.62247034194
2002,"female",60,330.921144452198
